STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013
Alabama,Alabama,4779736,4779758,4785570,4801627,4817528,4833722
Alabama,Autauga County,54571,54571,54613,55278,55265,55246
Alabama,Baldwin County,182265,182265,183223,186727,190675,195540
Alabama,Barbour County,27457,27457,27341,27301,27232,27076
Alabama,Bibb County,22915,22919,22883,22770,22662,22512
Alabama,Blount County,57322,57322,57352,57742,57807,57872
Alabama,Bullock County,10914,10915,10881,10618,10605,10639
Alabama,Butler County,20947,20946,20944,20662,20384,20265
Alabama,Calhoun County,118572,118572,118448,117769,117253,116736
Alabama,Chambers County,34215,34170,34110,33995,34074,34162
Alabama,Cherokee County,25989,25986,25968,26088,26056,26203
Alabama,Chilton County,43643,43642,43700,43786,43800,43951
Alabama,Choctaw County,13859,13858,13849,13598,13585,13426
Alabama,Clarke County,25833,25840,25786,25615,25220,25207
Alabama,Clay County,13932,13932,13886,13678,13458,13486
Alabama,Cleburne County,14972,14972,14969,14960,14885,14994
Alabama,Coffee County,49948,49948,50182,50503,51276,50938
Alabama,Colbert County,54428,54428,54506,54406,54424,54520
Alabama,Conecuh County,13228,13228,13218,13130,13009,12887
Alabama,Coosa County,11539,11544,11563,11117,11000,10898
Alabama,Covington County,37765,37765,37790,38053,37856,37886
Alabama,Crenshaw County,13906,13906,13867,13915,13981,13986
Alabama,Cullman County,80406,80408,80449,80477,80409,80811
Alabama,Dale County,50251,50251,50341,50085,50348,49884
Alabama,Dallas County,43820,43820,43840,43167,42692,41996
Alabama,DeKalb County,71109,71115,71106,71422,70977,71013
Alabama,Elmore County,79303,79296,79512,80010,80417,80902
Alabama,Escambia County,38319,38319,38314,38230,38070,37983
Alabama,Etowah County,104430,104427,104498,104323,104311,103931
Alabama,Fayette County,17241,17241,17250,17074,17005,16909
Alabama,Franklin County,31704,31709,31757,31765,31685,31532
Alabama,Geneva County,26790,26790,26793,26815,26969,26727
Alabama,Greene County,9045,9045,8991,8905,8848,8744
Alabama,Hale County,15760,15760,15732,15389,15420,15406
Alabama,Henry County,17302,17302,17290,17424,17285,17296
Alabama,Houston County,101547,101547,101793,102371,103298,103668
Alabama,Jackson County,53227,53226,53159,53235,53048,52951
Alabama,Jefferson County,658466,658474,658514,657998,658327,659479
Alabama,Lamar County,14564,14564,14499,14292,14265,14236
Alabama,Lauderdale County,92709,92709,92723,92601,92682,92797
Alabama,Lawrence County,34339,34339,34309,34055,33777,33587
Alabama,Lee County,140247,140296,140850,143869,147808,150933
Alabama,Limestone County,82782,82782,83227,85537,87384,88845
Alabama,Lowndes County,11299,11299,11278,11116,10846,10703
Alabama,Macon County,21452,21450,21541,21215,20383,19688
Alabama,Madison County,334811,334811,336204,339681,342762,346892
Alabama,Marengo County,21027,21029,20941,20689,20389,20155
Alabama,Marion County,30776,30777,30814,30741,30538,30334
Alabama,Marshall County,93019,93019,93188,93921,94413,94760
